phase,scenario,seconds,won,waves,kills,shots,efficiency,mean_alignment,remaining_asteroids,lives
1,0,65.25,False,0,0,0,0.0,-0.10493496779261621,12,0
1,1,22.316666666666666,False,0,0,0,0.0,-0.12253861794912393,12,0
1,2,120.0,False,0,0,0,0.0,-0.14213927407766613,12,1
1,3,22.333333333333332,False,0,0,0,0.0,-0.11742982510805164,12,0
1,4,81.16666666666667,False,0,0,0,0.0,-0.12771505784178727,12,0
1,5,81.28333333333333,False,0,0,0,0.0,-0.12871649362901189,12,0
1,6,48.0,False,0,0,0,0.0,-0.09590587605820025,12,0
1,7,82.26666666666667,False,0,0,0,0.0,-0.09932778995322347,12,0
1,8,35.516666666666666,False,0,0,0,0.0,-0.1906190899262922,12,0
1,9,43.46666666666667,False,0,0,0,0.0,-0.07508338482046653,12,0
1,10,48.666666666666664,False,0,0,0,0.0,-0.0660335108193157,12,0
1,11,104.3,False,0,0,0,0.0,-0.1264464050107199,12,0
2,0,105.48333333333333,False,0,0,0,0.0,-0.12426472721548859,12,0
2,1,7.216666666666667,False,0,0,0,0.0,-0.27029937912898305,12,0
2,2,105.31666666666666,False,0,0,0,0.0,-0.1206361131641576,12,0
2,3,32.56666666666667,False,0,0,0,0.0,-0.06869595177342873,12,0
2,4,120.0,False,0,0,0,0.0,-0.048357807989039,12,1
2,5,31.85,False,0,0,0,0.0,-0.08853360486391602,12,0
2,6,104.43333333333334,False,0,0,0,0.0,-0.0977358577936773,12,0
2,7,12.433333333333334,False,0,0,0,0.0,-0.06940547842352525,12,0
2,8,85.75,False,0,0,0,0.0,-0.10014318770390308,12,0
2,9,8.416666666666666,False,0,0,0,0.0,-0.05963410531317538,12,0
2,10,41.46666666666667,False,0,0,0,0.0,-0.04674803148006934,12,0
2,11,90.58333333333333,False,0,0,0,0.0,-0.11158541570641847,12,0
3,0,175.68333333333334,True,5,540,1189,0.4541631623212784,0.06630035647954673,0,1
3,1,7.416666666666667,False,0,39,62,0.6290322580645161,-0.0316366576899637,48,0
3,2,33.916666666666664,False,1,157,264,0.5946969696969697,0.03296026810007837,38,0
3,3,85.01666666666667,False,2,218,500,0.436,-0.054613992033883944,14,0
3,4,60.06666666666667,False,1,135,362,0.3729281767955801,0.0014898207793651729,33,0
3,5,39.25,False,1,146,289,0.5051903114186851,0.031478002879486155,41,0
3,6,26.533333333333335,False,1,114,202,0.5643564356435643,0.10742301200153709,20,0
3,7,9.183333333333334,False,0,53,75,0.7066666666666667,0.13654445975473387,34,0
3,8,132.56666666666666,True,5,540,1012,0.5335968379446641,0.046504068998109174,0,1
3,9,44.1,False,1,119,298,0.39932885906040266,0.02478515203954819,22,0
3,10,15.733333333333333,False,0,75,127,0.5905511811023622,-0.06623057921916943,27,0
3,11,93.41666666666667,False,3,384,693,0.5541125541125541,0.2171073519856941,25,0
