phase,mean_seconds,std_seconds,mean_alignment,mean_kills,mean_shots,efficiency,mean_waves,wins
1,62.88055555555555,30.098912427544416,-0.1164075244155396,0.0,0.0,0.0,0.0,0
2,62.12638888888889,41.67213545129392,-0.10050330504631515,0.0,0.0,0.0,0.0,0
3,60.24027777777777,50.15059195135176,0.042675938672923484,210.0,422.75,0.4967474866942638,1.6666666666666667,2
