method,monitor_accuracy,monitor_loss,objective_subset_accuracy,objective_subset_loss,objective_value
GD,0.954,0.13121824832505205,,,
EVO-random,0.384,1.9346739667247943,0.445,1.5970792878304667,1.603898247405817
