seed,method,test_accuracy,test_loss,mean_confidence,training_time
11,GD,0.9315,0.19843885712845175,0.927168777696115,5.380878916941583
11,EVO-random,0.1145,2.380986214120882,0.20718111475803908,5.228836334077641
11,GD+GD,0.9575,0.1389494535794774,0.9491615803274032,7.4734960838686675
11,GD+EVO,0.945,0.16478654355829775,0.9342768198311835,11.530331082874909
29,GD,0.9505,0.18259106594153704,0.9402776300494264,5.385800957912579
29,EVO-random,0.129,2.3498243092068374,0.20533450382327684,5.1794932500924915
29,GD+GD,0.9495,0.1821019134789702,0.9394515016602272,7.37031358294189
29,GD+EVO,0.95,0.18167056165665488,0.9402278601672911,10.332799957832322
47,GD,0.9405,0.19351326489481624,0.9343428654635445,6.015338500030339
47,EVO-random,0.1075,2.575638384214915,0.25366722399254166,5.089924833038822
47,GD+GD,0.9395,0.17844547099546998,0.9434431810873555,7.824119542026892
47,GD+EVO,0.944,0.17887982911317,0.9373301644151282,11.227062167134136
